
****************************************

  MemTrackerLog 

       Sep 25 2024  
       19:48:13  

****************************************

External Libs: 

Leak(175)  16 bytes ref:676 
Leak(176)  32 bytes ref:677 
Leak(177)  16 bytes ref:679 
Leak(178)  32 bytes ref:680 
Leak(179)  16 bytes ref:682 
Leak(180)  32 bytes ref:683 
Leak(181)  16 bytes ref:685 
Leak(182)  32 bytes ref:686 
Leak(183)  16 bytes ref:688 
Leak(184)  32 bytes ref:689 
Leak(185)  16 bytes ref:691 
Leak(186)  48 bytes ref:692 
Leak(187)  16 bytes ref:694 
Leak(188)  32 bytes ref:695 
Leak(189)  16 bytes ref:697 
Leak(190)  32 bytes ref:698 
Leak(191)  16 bytes ref:700 
Leak(192)  32 bytes ref:701 
Leak(193)  16 bytes ref:703 
Leak(194)  32 bytes ref:704 
Leak(195)  16 bytes ref:706 
Leak(196)  32 bytes ref:707 
Leak(197)  16 bytes ref:709 
Leak(198)  48 bytes ref:710 
Leak(199)  16 bytes ref:712 
Leak(200)  32 bytes ref:713 
Leak(201)  16 bytes ref:715 
Leak(202)  48 bytes ref:716 
Leak(203)  16 bytes ref:718 
Leak(204)  32 bytes ref:719 
Leak(205)  16 bytes ref:721 
Leak(206)  32 bytes ref:722 
Leak(207)  16 bytes ref:724 
Leak(208)  32 bytes ref:725 
Leak(209)  16 bytes ref:727 
Leak(210)  32 bytes ref:728 
Leak(211)  16 bytes ref:825 
Leak(212)  32 bytes ref:826 
Leak(213)  16 bytes ref:828 
Leak(214)  32 bytes ref:829 
Leak(215)  16 bytes ref:831 
Leak(216)  32 bytes ref:832 
Leak(217)  16 bytes ref:834 
Leak(218)  32 bytes ref:835 
Leak(219)  16 bytes ref:837 
Leak(220)  32 bytes ref:838 
Leak(221)  16 bytes ref:840 
Leak(222)  32 bytes ref:841 
Leak(223)  16 bytes ref:843 
Leak(224)  48 bytes ref:844 
Leak(225)  16 bytes ref:846 
Leak(226)  32 bytes ref:847 
Leak(227)  16 bytes ref:849 
Leak(228)  48 bytes ref:850 
Leak(229)  16 bytes ref:852 
Leak(230)  32 bytes ref:853 
Leak(231)  16 bytes ref:855 
Leak(232)  32 bytes ref:856 
Leak(233)  16 bytes ref:858 
Leak(234)  48 bytes ref:859 
Leak(235)  16 bytes ref:861 
Leak(236)  32 bytes ref:862 
Leak(237)  16 bytes ref:864 
Leak(238)  32 bytes ref:865 
Leak(239)  16 bytes ref:867 
Leak(240)  32 bytes ref:868 
Leak(241)  16 bytes ref:872 
Leak(242)  32 bytes ref:873 
Leak(243)  16 bytes ref:875 
Leak(244)  32 bytes ref:876 
Leak(245)  16 bytes ref:878 
Leak(246)  32 bytes ref:879 
Leak(247)  16 bytes ref:881 
Leak(248)  32 bytes ref:882 
Leak(249)  16 bytes ref:884 
Leak(250)  32 bytes ref:885 
Leak(251)  16 bytes ref:887 
Leak(252)  32 bytes ref:888 
Leak(253)  16 bytes ref:892 
Leak(254)  32 bytes ref:893 
Leak(255)  16 bytes ref:895 
Leak(256)  32 bytes ref:896 
Leak(257)  16 bytes ref:898 
Leak(258)  32 bytes ref:899 
Leak(259)  16 bytes ref:901 
Leak(260)  32 bytes ref:902 
Leak(261)  16 bytes ref:904 
Leak(262)  48 bytes ref:905 
Leak(263)  16 bytes ref:907 
Leak(264)  32 bytes ref:908 
Leak(265)  16 bytes ref:910 
Leak(266)  32 bytes ref:911 
Leak(267)  16 bytes ref:913 
Leak(268)  32 bytes ref:914 
Leak(269)  16 bytes ref:916 
Leak(270)  32 bytes ref:917 
Leak(271)  16 bytes ref:919 
Leak(272)  32 bytes ref:920 
Leak(273)  16 bytes ref:922 
Leak(274)  32 bytes ref:923 
Leak(275)  16 bytes ref:925 
Leak(276)  32 bytes ref:926 
Leak(277)  16 bytes ref:928 
Leak(278)  32 bytes ref:929 
Leak(279)  16 bytes ref:931 
Leak(280)  32 bytes ref:932 
Leak(281)  16 bytes ref:934 
Leak(282)  32 bytes ref:935 
Leak(283)  16 bytes ref:937 
Leak(284)  48 bytes ref:938 
Leak(285)  16 bytes ref:940 
Leak(286)  32 bytes ref:941 
Leak(287)  16 bytes ref:943 
Leak(288)  32 bytes ref:944 
Leak(289)  16 bytes ref:946 
Leak(290)  32 bytes ref:947 
Leak(291)  16 bytes ref:949 
Leak(292)  48 bytes ref:950 
Leak(293)  16 bytes ref:952 
Leak(294)  32 bytes ref:953 
Leak(295)  16 bytes ref:955 
Leak(296)  32 bytes ref:956 
Leak(297)  16 bytes ref:958 
Leak(298)  32 bytes ref:959 
Leak(299)  16 bytes ref:961 
Leak(300)  32 bytes ref:962 
Leak(301)  16 bytes ref:1106 
Leak(302)  32 bytes ref:1107 
Leak(303)  16 bytes ref:1109 
Leak(304)  32 bytes ref:1110 
Leak(305)  16 bytes ref:1112 
Leak(306)  32 bytes ref:1113 
Leak(307)  16 bytes ref:1115 
Leak(308)  32 bytes ref:1116 
Leak(309)  16 bytes ref:1118 
Leak(310)  32 bytes ref:1119 
Leak(311)  16 bytes ref:1121 
Leak(312)  32 bytes ref:1122 
Leak(313)  16 bytes ref:1124 
Leak(314)  48 bytes ref:1125 
Leak(315)  16 bytes ref:1127 
Leak(316)  32 bytes ref:1128 
Leak(317)  16 bytes ref:1130 
Leak(318)  32 bytes ref:1131 
Leak(319)  16 bytes ref:1133 
Leak(320)  32 bytes ref:1134 
Leak(321)  16 bytes ref:1136 
Leak(322)  32 bytes ref:1137 
Leak(323)  16 bytes ref:1139 
Leak(324)  32 bytes ref:1140 
Leak(325)  16 bytes ref:1142 
Leak(326)  48 bytes ref:1143 
Leak(327)  16 bytes ref:1145 
Leak(328)  48 bytes ref:1146 
Leak(329)  16 bytes ref:1148 
Leak(330)  32 bytes ref:1149 
Leak(331)  16 bytes ref:1151 
Leak(332)  32 bytes ref:1152 
Leak(333)  16 bytes ref:1154 
Leak(334)  32 bytes ref:1155 
Leak(335)  16 bytes ref:1157 
Leak(336)  32 bytes ref:1158 
Leak(337)  16 bytes ref:1160 
Leak(338)  32 bytes ref:1161 
Leak(339)  16 bytes ref:1163 
Leak(340)  32 bytes ref:1164 
Leak(341)  16 bytes ref:1166 
Leak(342)  32 bytes ref:1167 
Leak(343)  16 bytes ref:1169 
Leak(344)  32 bytes ref:1170 
Leak(345)  16 bytes ref:1172 
Leak(346)  32 bytes ref:1173 
Leak(347)  16 bytes ref:1175 
Leak(348)  48 bytes ref:1176 
Leak(349)  16 bytes ref:1178 
Leak(350)  48 bytes ref:1179 
Leak(351)  16 bytes ref:1181 
Leak(352)  32 bytes ref:1182 
Leak(353)  16 bytes ref:1184 
Leak(354)  32 bytes ref:1185 
Leak(355)  16 bytes ref:1187 
Leak(356)  32 bytes ref:1188 
Leak(357)  16 bytes ref:1190 
Leak(358)  32 bytes ref:1191 
Leak(359)  16 bytes ref:1193 
Leak(360)  32 bytes ref:1194 
Leak(361)  16 bytes ref:1198 
Leak(362)  32 bytes ref:1199 
Leak(363)  16 bytes ref:1205 
Leak(364)  32 bytes ref:1206 
Leak(365)  16 bytes ref:1208 
Leak(366)  32 bytes ref:1209 
Leak(367)  16 bytes ref:1211 
Leak(368)  32 bytes ref:1212 
Leak(369)  16 bytes ref:1214 
Leak(370)  32 bytes ref:1215 
Leak(371)  16 bytes ref:1217 
Leak(372)  32 bytes ref:1218 
Leak(373)  16 bytes ref:1220 
Leak(374)  32 bytes ref:1221 
Leak(375)  16 bytes ref:1223 
Leak(376)  32 bytes ref:1224 
Leak(377)  16 bytes ref:1226 
Leak(378)  32 bytes ref:1227 
Leak(379)  16 bytes ref:1229 
Leak(380)  32 bytes ref:1230 
Leak(381)  16 bytes ref:1232 
Leak(382)  32 bytes ref:1233 
Leak(383)  16 bytes ref:1235 
Leak(384)  32 bytes ref:1236 
Leak(385)  16 bytes ref:1238 
Leak(386)  32 bytes ref:1239 
Leak(387)  16 bytes ref:1241 
Leak(388)  32 bytes ref:1242 
Leak(389)  16 bytes ref:1244 
Leak(390)  32 bytes ref:1245 
Leak(391)  16 bytes ref:1247 
Leak(392)  32 bytes ref:1248 
Leak(393)  16 bytes ref:1250 
Leak(394)  32 bytes ref:1251 
Leak(395)  16 bytes ref:1253 
Leak(396)  48 bytes ref:1254 
Leak(397)  16 bytes ref:1256 
Leak(398)  48 bytes ref:1257 
Leak(399)  16 bytes ref:1259 
Leak(400)  32 bytes ref:1260 
Leak(401)  16 bytes ref:1262 
Leak(402)  32 bytes ref:1263 
Leak(403)  16 bytes ref:1265 
Leak(404)  32 bytes ref:1266 
Leak(405)  16 bytes ref:1268 
Leak(406)  32 bytes ref:1269 
Leak(407)  16 bytes ref:1271 
Leak(408)  32 bytes ref:1272 
Leak(409)  16 bytes ref:1274 
Leak(410)  32 bytes ref:1275 
Leak(411)  16 bytes ref:1277 
Leak(412)  48 bytes ref:1278 
Leak(413)  16 bytes ref:1280 
